;vote_id;comment_id;user_id;gender;age;content;vote;label
7337;1430;477;6;masc;24.0;Um presidente desrespeitoso apoiando o comentário de um semialfabetizado.;0;0.0
7409;2000;2298;64;masc;24.0;Agora eu pergunto: QUEM ESTÁ IMPEDINDO? Vagas não tem gênero, parem de arrumar desculpinha e mimimi e façam o que querem.;0;0.6666666666666666
7473;3126;3214;106;fem;27.0;Não sou machista, mas creio que o casamento dessa senhora tenha ruido talvez por culpa dela. Não há dúvidas que chega um momento na vida de um casal que a monotonia toma conta do relacionamento, então, o que fazer? Eu, há alguns anos, tive a ideia de fazer da minha esposa a minha amante. Propus a  ela que me encontrasse em algumas sexta-feiras, quando eu saísse do trabalho, em estações do metro. Ela deveria vir com roupas provocantes e sexy, sozinha. Nesses dias, de longe, eu a via chegando, com muitos homens olhando para ela. Confesso que isso me deixava doido de ciumes, mas quando ela se aproximava de mim e me beijava, eu sentia um prazer imenso. Então, íamos  a um barzinho, onde bebíamos  como dois libertinos , e  depois íamos a um motel, e, algumas vezes, para que eu tivesse certeza que aquela não era minha esposa e sim uma mundana, eu pedia para que ela já chegasse semi-nua na portaria. Era maravilhoso fazer da minha mulher uma prostituta.;1;1.0
7602;3660;512;127;fem;23.0;CHAMOU DE MENTIROSO PRIMEIRO ! MERECEU OUVIR ;1;1.0
7603;1246;512;31;fem;25.0;CHAMOU DE MENTIROSO PRIMEIRO ! MERECEU OUVIR ;1;1.0
7637;1896;142;61;fem;27.0;É mais feia que bater na mãe;1;1.0
7701;2713;623;83;masc;22.0;Disse tudo, Pamela. O pessoal aqui parece que gosta de viver na ignorância, né? Pura preguiça de pensar.;0;0.0
7789;601;1160;18;masc;20.0;Pois é. Por que não reclamou antes dos Vingadores. Ainda bem que... Não. Não vou dar spoilers... =);1;0.5
7895;728;894;16;fem;21.0;Grab her by the pussy.;1;1.0
7933;2479;471;79;masc;24.0;Só duas palavras, espelho meu.;1;0.3333333333333333
7971;854;3169;24;fem;24.0;Bom texto de ficção.;1;0.3333333333333333
7988;2619;1441;81;fem;32.0;Meninas é verdade que as mulheres ganham 30% menos do que os homens? ;1;0.6666666666666666
8061;1766;2805;53;fem;23.0;Não da nada porque ainda há muito machismo nesse meio. Justamente por isso que tem que se perder tempo para mudar isso. Ridículo o desdém desse comentário.;1;0.6666666666666666
8182;4266;2871;152;masc;32.0;Desde o princípio o homem escreve livros para se por em destaque e dizer como as mulheres devem agir.;1;1.0
8334;113;321;1;fem;24.0;desculpe, que peruca feia essa cabeça feia carrega;1;1.0
8349;2006;402;31;fem;25.0;"O mito só falou verdades .. Pior que, ele não disse nada d mais, ""só"" pediu pra o cara não humilhar rsrsrsrs KD o cara da postagem?? Vão procurar ele, hora bolas.";0;0.3333333333333333
8430;2284;1695;69;masc;23.0;aceite a verdade c/a/r/l/o/s.;0;0.0
8623;2152;601;69;masc;23.0;A menina de camisa vermelha com o baixo parece um garoto. Elas querem ser homens é isso mesmo?;1;1.0
8647;72;1390;1;fem;24.0;Ninguém nasce homem, torna-se homem;0;0.25
8674;2091;720;64;masc;24.0;"Essa velha já aposentou há muito tempo. Não sente mais nenhum prazer e nem mesmo homens de sua mesma idade a procura. Homens de sua época sabiam como chegar numa mulher, sabiam dar cantadas....o que vemos hoje no mundo, e principalmente no Brasil são homens desrespeitosos que assediam, abusam e estupram. Não acreditam na cultura do estupro? Então façam uma pesquisa no google sobre ENTEADO...e depois façam uma pesquisa sobre ENTEADA e irão ver que essa ""cultura"" existe.";0;0.3333333333333333
8780;1341;2201;44;fem;24.0;QUE  BOM  !!!  PERMANECERÁ  ASSIM...  FOREVER  AND  EVER;1;1.0
8870;363;2664;10;masc;22.0;A bebida limita o raciocínio, agora ele será sempre um assassino!;0;0.3333333333333333
8886;2930;64;1;fem;24.0;Agradecer a quem... Os artistas hipócritas de esquerda... O nosso presidente mostrou para o almofadinha do Mácron que o Brasil é dos Brasileiros. Estamos com o Sr presidente. ;0;0.3333333333333333
9040;2140;2652;68;fem;37.0;todos sabemos que nao, mas mulher ser fragil e bla bla bla;1;1.0
9043;2913;1510;1;fem;24.0;Jose Lopes , pois é a mídia já comeu seu cérebro por isso tal comentário contra mim, mostrando que o ignorante na realidade é você veja não tem argumentação bem quem é ignorante nunca quer ser sozinho.;0;0.3333333333333333
9071;2610;2400;81;fem;32.0;Se sao a minoria por poucas se inscrevem, poxa to cansado dessas matérias. Elas são proibidas de entram la???;1;0.75
9111;684;181;20;fem;24.0;Quero ver você aos 66 anos, como vai ficar...;1;0.6666666666666666
9153;1081;487;26;masc;25.0;Esse bozo devia parar de mexer com rede social, se não sabe não usa. Já basta o nepotismo. Cala a boca e trabalha bozo, mostra que vai fazer alguma coisa além de besteira.;0;0.0
9178;1045;1216;1;fem;24.0;"Vixe! tem até isso agora: femicídio!!! deve ser para criar uma secretaria especializada em feminicídio e outra em femicídio. Dar emprego ideológico a ""cumpanherada""";1;1.0
9226;1054;977;1;fem;24.0;"Parabéns à essas ""mulheres de verdade"" que entendem que o homem ""macho"" nasceu para seduzir e conquistar, quer seja com uma serenata como antigamente ou com diamantes de 1 milhão de dólares... Acontece que a humanidade está sendo submetida à uma ""nova ordem"" onde surgem os novos ""gêneros de sexo"", o novo puritanismo, o ""empoderamento"" das mulheres o ""politicamente correto"", o ""tudo é racismo e preconceito"", a cantada que vira assédio e o beijo no rosto que vira estupro!";1;1.0
9229;434;18;1;fem;24.0;BOLSO NARO NUNCA NUNCA NUNCA MAIS!!!;0;0.0
9306;2462;646;79;masc;24.0;Pregam a igualdade separando... pq não faz com meninos e meninas, o que vocês acham que as menininhas vão pensar depois? Elas vão se isolar nas outras tarefas e brincadeiras. Eu tenho filho e filha, o meu filho ensina ela a jogar vídeo game e bola, e ela ensina ele a desenhar e a ser organizado, menino é mais largado e a menina é naturalmente mais carinhosa e organizada.;1;1.0
9349;1370;2121;37;fem;24.0;Kkkkkkkkkk mano a mulher só queria ficar mais bonita  e o cara surtou kkkkkk;1;0.6666666666666666
9444;1221;921;31;fem;25.0;Até que enfim uma mulher sensata, diferente dessa bruxas feminazes de Hollywood;1;1.0
9485;2906;3007;1;fem;24.0;E também parece que virou moda.;0;0.25
9511;1994;387;64;masc;24.0;Quem começa que é culpado. O Maricon colonialista e sua mulher dragão, precisam de mais espaço na Amazônia além da colônia deles, a guiana, para criar seu dragÕeszinhos.  ;1;1.0
9523;3806;3105;128;masc;23.0;Engano seu. Homens são LOUCOS por mulheres maduras!;0;0.3333333333333333
9530;118;2716;1;fem;24.0;Ceres, você acredita nisso ? Você não sabe que para fazer alguém pagar, não é nada fácil.  Tudo segue um processo, que leva tempo, pois são vários, e vários casos. Havendo bens, são escondidos pelo devedor. Ou seja. Essa medida terá pouquíssima eficácia. Acho que é até, somente, para melhorar o capital político de alguém.;0;0.0
9559;2242;2674;71;fem;21.0;Ela pegar o cara pelos colarinhos, dando uma de super mulher tudo bem, levar tapa na cara não pode... Ele errou e ela errou tb, não se sabe o porque tudo começou, e teve como consequência a morte do lado mais frágil. Precisamos de uma Lei Zé da Favela, porque as mulheres podem tudo e o homem não podem nada.;1;1.0
9607;2882;374;94;fem;22.0;O G1 já deve ter feito umas 10 matérias falando a mesma coisa. Haverá mais matérias sobre isso, daí eles acrescentam um parágrafo e dão ctrl c e ctrl c nas matérias anteriores.;1;0.25
9709;3062;1711;103;fem;23.0;Essa palhaça sentou no colo do Mamoa e agora reclama... Só quer aparecer, conseguiu;1;1.0
9797;3090;2310;104;fem;20.0;60% de TODOS os cursos superiores ocupados por mulheres: COMPETÊNCIA 3% de Prêmios Nobel: MACHIIIIIIISMO.... Vá entender....;1;1.0
9873;1755;2453;58;masc;23.0;ISSO É O FETICHE JOSILDOSRC ENTRE O CASAL, OS DOIS JÁ NÃO TEM CACUÊ PRA ISSO FOLDENCOXINHATUCANALHAMEREDÃO UM NOVENTÃO OUTRO DOGRASIL. ;0;0.3333333333333333
9892;2985;1658;97;masc;23.0;kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk....UMA DAS CRITICAS DE CINEMA MAIS CONHECIDAS....kkkkkkkkkkkkkkkkkkkkkkkk...A vítima nesse caso é o Vin Diesel, ne?!;0;0.8
9925;1894;3110;61;fem;27.0;Olhando bem, acho que para vender o livro;1;0.6666666666666666
10027;2898;1888;1;fem;24.0;Acho que não foi só por isso não, não justifica o que ele fez,  tem mais coisas envolvidas, apesar de ter louco pra tudo. Nesse mundo.;1;0.3333333333333333
10045;3189;3152;110;fem;21.0;Ninguém nasce com manual de instrução. Cada vida é uma experiência boa ou ruim. Sem demagogia fui um marido infiel por trinta anos. Sofri e fiz sofrer muito. Quando veio a separação, eu pude cair na real e viver um amor honesto e fiel. Minha ex  foi protagonista e vítima também.  Não se pode julgar ninguém. Não existe duas vidas  exatas. A gente mais erra, do que acerta na vida. o que muda é a gravidade dos erros.;0;0.3333333333333333
10067;3063;962;105;fem;23.0;Correto, e qual mulher normal não gosta de receber uma cantada??? ;0;0.75
10180;2056;2247;31;fem;25.0;E pq as mulheres (de modo geral) não possuem o interesse? Será que não é por conta de sua educação e sociedade? leia o texto todo;0;0.0
10194;500;2542;16;fem;21.0;ai so depende da sua contra corrente kk;1;1.0
10225;2846;338;91;fem;44.0;Agora eu fiquei sem entender nada,, toda vida eu fui ensinado a não mentir, inclusive tem um ditado que eu não esqueço, (QUEM FALA A VERDADE, NÃO MERECE CASTGO).kkkkkkkkkkkkk;0;0.3333333333333333
10311;3051;333;103;fem;23.0;Pardon, madame Macron..... Esse Asno é um doente psiquiátrico e não sabe o que faz.... Logo o internaremos, não se preocupe. ;0;0.0
10321;1072;1446;1;fem;24.0;São misândricas.;1;1.0
10363;23;1677;1;fem;24.0;concordo;1;0.75
10503;1423;272;41;masc;24.0;Censor de texticulo ( o cara censor trocou as bolas kkkkkkk);0;0.3333333333333333
10509;1053;2564;1;fem;24.0;Ermiome.;0;0.6666666666666666
10577;2575;117;81;fem;32.0;"Ambas as esposas tem sua beleza, nossa primeira dama além de bela fisicamente  é muito bonita espiritualmente! Acho que o problema é dos dois ""abençoados"" que em vez de estarem gerenciando suas respectivas nações ficam a trocar farpas mídia afora. Meu recado pros dois é:  vão trabalhar, vão produzir, vão gerenciar  com dignidade seus países e honrem suas respectivas mulheres e as dos outros mais ainda...";0;0.3333333333333333
10596;1621;1258;48;masc;24.0;A MULHER CONTINUA VÍTIMA DE MACHISMO ATÉ OS DIAS DE HOJE... QUALQUER HOMEM PODE TIRAR A BLUSA E MOSTRAR OS PElTIlNHOS NO MEIO RUA, E NINGUÉM FALARA NADA, MAS A MULHERES CONTINUAM ESCRAVAS DOS HOMENS É ISSO QUE ELAS QUEREM  SEMPRE VÃO TER QUE ESCONDER OS MAMlLOS PORQUE ELAS SÃO E SEMPRE SERÃO SUBMISSAS AO MACHISMO E AOS HOMENS, ELAS MERECEM SÃO COVARDES E POR ISO SE COBREM COM AQUELES TRAPOS RIDÍCULOS.. MELDELS QUANTAS VERDADE EU DISSE AÍ EM CIMA. ;1;1.0
10615;1881;914;61;fem;27.0;Você pode cantar um homem ué.;0;0.4285714285714285
10703;1847;2265;61;fem;27.0;Não, Dona Maria! Ninguém falou de obrigação, só falei da média mesmo. Bom curso, sucesso! Ah, mulher em exatas ainda é minoria.... mas não é imposição. Biológicas é maioria. ;0;0.25
10762;1550;1813;46;masc;21.0;Então sai daqui dessa seção,  tá cheio ;0;0.0
10806;1683;2430;57;masc;24.0;Mas que chororô!!! Acho que nunca havia lido tanta bobagem em uma reportagem. Se eu que nasci em uma favela, de família simples, prestei vestibular engenharia e passei para faculdade pública, fiz concurso público e passei para empresa pública... por que uma menina educada em uma família com muito mais condições do que eu não conseguiria? Puro comodismo, falta de interesse e etc... ;0;0.75
10868;2853;3124;91;fem;44.0;"Cada pessoa faz o que quer e, se essa mulher precisava fazer isso para se sentir vingada, ""quite"", em paz consigo mesma, OK. Cada um sabe o tamanho de sua dor e de como aplacá-la. Só não entendo por que a intimidade das pessoas precisa ser tão exposta, sendo essa uma questão de foro íntimo. .Também me incomoda quando os homens insistem em chamá-la se ""senhora idosa"". Por que não se referir a ela apenas como ""mulher""? Não importa a idade, as mulheres têm libido, têm prazer, têm tesão, e são livres para se satisfazerem sexualmente.";0;0.0
10872;1412;2747;37;fem;24.0;Por que homem  pode se defender e mulher não! E só homem bate, mulher não! Esse é o entendimento social e público!;0;0.5
10920;697;674;20;fem;24.0;RAMONES, essa tem bom gosto! ;0;0.0
11072;793;151;16;fem;21.0;ED;1;0.6666666666666666
11075;2626;1346;84;masc;27.0;concordo e os ignorantes do g1 são todos lindos bonitos e fodoes;1;0.6666666666666666
11181;2773;2327;1;fem;24.0;"Se estudar , se qualificar e buscar, até um chipanzé vai pra NASA...agora ficar esperando ""apoio"", ""cota"", ""empurrãozinho do patrão""( no mau sentido) e imposição de peitos e suas sacepeP, podem esquecer.";1;1.0
11253;3730;2635;128;masc;23.0;A lei é baseada em fatos.... claro que o cara cometeu um erro... mas a reportagem está incompleta. Deveriam noticiar após terem o laudo já concluído.;1;0.6
11327;984;1521;25;fem;22.0;"Não chega a ser feminista propriamente... A recomendação que faço é se afastar das feminazis. Além disso, a reportagem é um baita de um ""non sequitur"" em relação à chamada, pois não vi rigorosamente NADA que se encaixe no tal do ""feminismo de 3a geração"". No mais, sucesso.";1;1.0
11417;3021;2014;100;masc;46.0;Mulheres Só Gostam,Desses Caras!!!Pra mim Foi Pouco;1;1.0
11422;2657;1236;84;masc;27.0;E viva a cambada de analfabetos funcionais entrando nas universidades  do Brasil, pois o ENEM hoje em dia não exige mais pensar, apenas esquerdar!;1;1.0
11442;1808;845;60;fem;34.0;Grande Catherine! As feminazis odeiam os homens e principalmente as mulheres...;1;1.0
11487;421;3271;13;masc;29.0;Estou chateado com vç !...ESQUECESTES DE MIM PARA SER O 33 !...;0;0.25
11599;1481;3208;16;fem;21.0;Em que século você está vivendo?;1;0.8
11691;2263;3205;69;masc;23.0;Infelizmente não foi o que aconteceu no casamento dela. Traição dói. E muito.;0;0.3333333333333333
11716;2988;861;98;fem;25.0;Apoio a atitude das francesas. Tem que haver bom senso e separar o flerte, a paquera do assédio, esse sim imoral e recriminável. A continuar nesse pensamento, daqui a pouco o flerte vai ter que ser por escrito, com duas testemunhas, firma reconhecida em cartório e remetida pelo correio com AR.;1;0.25
11806;2469;685;79;masc;24.0;Menininhas que parecem um bando de menininhos. E os pais, ainda acham bonitinhos...Depois reclama porque viram homossexuais.;1;1.0
11822;2458;79;79;masc;24.0;ESSA NUNCA FOI BONITA ELA E FEIA KKKKKKKKKKKK;1;1.0
11839;2478;2884;1;fem;24.0;Está certo! Isso tem que ser discutido no coletivo das instituições...E Escola, Igreja, Polícia, todos abraçando a mesma causa, mas, a Igreja, uma das principais, ainda é machista, e acha que o homem tem razão!...Bateu! Espancou! Denúncia e prisão, algum tipo de tratamento, e colocar esse homem na rua, mas, sempre deixar claro, o que aconteceu...Se repetir...Cadeia mesmo!;0;0.0
11869;2676;997;83;masc;22.0;Você é a Olguita que residiu na Rua Agostinho Gomes, Ipiranga, SP? Se é, você me conhece. Com certeza.;1;0.6666666666666666
11904;2270;2875;70;fem;25.0;"A diferença é que antes a mulher apanhava, era violada, contra a vontade e nada fazia...Aguentava quieta! No momento que começou a vir à tona isso, os homens cruéis, fanáticos, ""donos"" da mulher, começaram a aparecer...Pq as mulheres denunciaram, pediram a separação, e isso não é admitido, inclusive por muitas mulheres, que ainda acham que o homem tem mais poder ...Está na hora de um Basta!";0;0.0
11952;511;2070;16;fem;21.0;Kkkkk;1;1.0
11973;75;326;1;fem;24.0;O Presidente não foi mal educado. Apenas publicou que o autor da mensagem não deveria humilhar e a risada dele é em todas as conversas. É uma pessoa abençoada por DEUS, diferente de muitos que não abre a boca com medo de falar algo que possa prejudicá-lo. O que a maioria dos políticos e jornalistas não tem é respeito aos eleitores do Presidente.  Aceita que doe menos ;0;0.25
12051;754;790;16;fem;21.0;Perfeito!;1;0.4
